name,height,weight,reach,stance,wins,losses,draws
Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10
Joilton,Lutterbach,Peregrino,"6' 1""",185 lbs.,"75.0""",Orthodox,38
Tucker,Lutz,Top Gun,"5' 8""",145 lbs.,"72.0""",Orthodox,12
Lv,Zhenhong,,"5' 8""",145 lbs.,"67.0""",Switch,16
Stevie,Lynch,,"5' 10""",170 lbs.,--,Orthodox,5
Adam,Lynn,,"5' 10""",155 lbs.,--,Orthodox,17
Chris,Lytle,Lights Out,"5' 11""",170 lbs.,"68.0""",Orthodox,31
Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16
Pawan,Maan,,"5' 7""",155 lbs.,"70.0""",Orthodox,7
William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,9
Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,25
Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,5
Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,19
Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,10
Clayton,MacFarlane,,--,170 lbs.,--,,4
Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6
Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8
Caio,Machado,Bigfoot,"6' 4""",250 lbs.,"78.0""",Southpaw,8
Ian,Machado Garry,The Future,"6' 3""",170 lbs.,"74.0""",Orthodox,16
Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24
War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14
Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26
Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4
Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14
Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9
Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5
Victor,Madrigal,Periquito,"5' 7""",135 lbs.,"71.0""",Orthodox,15
Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8
Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,12
Yoshiro,Maeda,,"5' 7""",139 lbs.,"68.0""",Southpaw,35
Leonardo,Mafra,Macarrao,"5' 10""",155 lbs.,"70.0""",Orthodox,13
Vinny,Magalhaes,Pezao,"6' 3""",205 lbs.,"75.0""",Orthodox,14
Vinicius,Magalhaes,Draculinho,--,145 lbs.,--,,2
Caio,Magalhaes,Hellboy,"6' 1""",185 lbs.,"73.0""",Orthodox,10
Bernardo,Magalhaes,Trekko,"5' 9""",155 lbs.,--,Orthodox,13
Eric,Magana,,--,--,--,,1
Brandon,Magana,,--,170 lbs.,--,Orthodox,6
Angela,Magana,Your Majesty,"5' 1""",115 lbs.,"65.0""",Orthodox,11
Neil,Magny,The Haitian Sensation,"6' 3""",170 lbs.,"80.0""",Orthodox,30
Raimond,Magomedaliev,,"6' 1""",170 lbs.,"75.0""",Orthodox,10
Ibragim,Magomedov,,"6' 0""",250 lbs.,--,Orthodox,22
Rashid,Magomedov,Highlander,"5' 9""",155 lbs.,"70.0""",Orthodox,20
Ruslan,Magomedov,Leopard,"6' 3""",242 lbs.,"78.0""",Orthodox,14
Abus,Magomedov,,"6' 2""",185 lbs.,"78.0""",Orthodox,28
Shara,Magomedov,Bullet,"6' 2""",185 lbs.,"73.0""",Orthodox,16
Zabit,Magomedsharipov,,"6' 1""",145 lbs.,"73.0""",Orthodox,18
John,Maguire,The One,"5' 9""",155 lbs.,"69.0""",Southpaw,24
Lolohea,Mahe,,--,--,--,,10
Michelle,Maher,,--,145 lbs.,--,,1
,Maheshate,,"6' 0""",155 lbs.,"71.0""",Orthodox,10
Bill,Mahood,The Butcher,"6' 3""",200 lbs.,--,Orthodox,20
Klayton,Mai,,"5' 9""",125 lbs.,--,,8
Demian,Maia,,"6' 1""",170 lbs.,"72.0""",Southpaw,28
Jennifer,Maia,,"5' 4""",125 lbs.,"64.0""",Orthodox,21
Nayara,Maia,Capita,"5' 5""",125 lbs.,"66.0""",Orthodox,7
Roshan,Mainam,The Indian Notorious,--,135 lbs.,--,,6
Levan,Makashvili,The Hornet,"5' 8""",145 lbs.,"68.0""",Orthodox,15
John,Makdessi,The Bull,"5' 8""",155 lbs.,"68.0""",Orthodox,18
Islam,Makhachev,,"5' 10""",155 lbs.,"70.0""",Southpaw,27
Aliev,Makhmud,,"5' 6""",195 lbs.,--,Southpaw,0
Zach,Makovsky,Fun Size,"5' 4""",125 lbs.,"64.0""",Southpaw,20
Azat,Maksum,Qazaq,"5' 7""",125 lbs.,"70.0""",Southpaw,15
Jeremy,Malaterre,,"5' 11""",155 lbs.,--,,4
Fabio,Maldonado,Caipira de Aco,"6' 1""",205 lbs.,"75.0""",Orthodox,23
Marvin,Maldonado,The Bulldog,"5' 6""",135 lbs.,--,,2
Bea,Malecki,,"5' 9""",135 lbs.,"74.0""",Orthodox,4
Nazareno,Malegarie,El Tigre,"5' 8""",155 lbs.,--,,28
Carl,Malenko,,"5' 11""",200 lbs.,--,Orthodox,6
Jacob,Malkoun,Mamba,"5' 9""",185 lbs.,"73.0""",Orthodox,8
Mike,Malott,Proper,"6' 1""",170 lbs.,"73.0""",Orthodox,12
Regina,Malpica Rivera,Kill Bill,--,135 lbs.,--,,5
Dan,Manasoiu,,--,--,--,,0
Troy,Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3
Nate,Maness,Mayhem,"5' 10""",125 lbs.,"72.0""",Orthodox,16
Michael,Mangan,,--,155 lbs.,--,,0
Gary,Mangat,,"5' 7""",135 lbs.,--,,15
George,Mangos,,--,145 lbs.,--,,7
Melvin,Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30
Melchor,Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2
Jon,Manley,,"6' 1""",170 lbs.,--,Orthodox,9
Steve,Mann,,"6' 1""",170 lbs.,--,,12
Marnic,Mann,The Sawed-Off Savage,"5' 0""",115 lbs.,"64.0""",Southpaw,6
Dylan,Mantello,The Quiet Man,"6' 1""",155 lbs.,"73.0""",Orthodox,8
Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,9
Jimi,Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17
Dom,Mar Fan,Street Buddha,"5' 11""",155 lbs.,"75.0""",Orthodox,7
Cristiano,Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13
Daniel,Marcos,Soncora,"5' 7""",135 lbs.,"69.0""",Orthodox,17
Jose,Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37
Marcos,Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6
Enrique,Marin,Wasabi,"5' 10""",170 lbs.,--,,10
Chepe,Mariscal,Machine Gun,"5' 7""",145 lbs.,"69.0""",Orthodox,18
Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17
Rory,Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17
Randa,Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11
Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8
Brendon,Marotte,The Kid,"5' 9""",145 lbs.,"70.0""",Orthodox,8
Nate,Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35
Danilo,Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11
Julian,Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9
Carmelo,Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16
Cesar,Marscucci,,--,--,--,,3
John,Marsh,,"6' 0""",265 lbs.,--,Orthodox,8
CJ,Marsh,,--,--,--,,5
Eliot,Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10
Doug,Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18
David,Marshall,,"6' 2""",170 lbs.,--,,8
Francis,Marshall,Fire,"5' 9""",145 lbs.,"72.0""",Orthodox,8
Jack,Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23
Terry,Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23
Eric,Martin,,--,--,--,,0
Justin,Martin,,"6' 0""",185 lbs.,--,,4
Dave,Martin,,"6' 0""",205 lbs.,--,,0
Joe,Martin,,"5' 9""",170 lbs.,--,,6
Anthony Rocco,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17
Mallory,Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7
Michal,Martinek,,"6' 2""",230 lbs.,--,Southpaw,7
Rainy,Martinez,,"6' 0""",199 lbs.,--,Orthodox,0
Danny,Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21
Alonzo,Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42
Henry,Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9
Jonathan,Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,19
Poppies,Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29
Andrew,Martinez,Mickey D,"5' 9""",215 lbs.,--,,9
Mana,Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,10
Victor,Martinez,The Brick,"5' 8""",155 lbs.,"70.0""",Orthodox,13
Roque,Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15
Melissa,Martinez,Super Mely,"5' 2""",115 lbs.,"66.0""",Southpaw,8
Julieta,Martinez,The Ninja Ferret,"5' 1""",115 lbs.,"62.0""",Orthodox,8
David,Martinez,Black Spartan,"5' 5""",135 lbs.,"67.0""",Orthodox,12
Wagner da Conceicao,Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9
Adriano,Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28
Lucas,Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19
Max,Martyniouk,Payne,--,155 lbs.,--,,1
Bristol,Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16
Shoji,Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12
Kazuma,Maruyama,Gluttony,"5' 11""",155 lbs.,"72.0""",Orthodox,11
Islem,Masraf,Lightning,"6' 0""",205 lbs.,"74.0""",Southpaw,3
Mike,Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13
Jameel,Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26
Tiffany,Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2
Jorge,Masvidal,Gamebred,"5' 11""",170 lbs.,"74.0""",Orthodox,35
Al,Matavao,Sweetness,"5' 8""",205 lbs.,"67.0""",Orthodox,8
Tateki,Matsuda,Tech,"5' 7""",125 lbs.,--,Orthodox,13
Arisa,Matsuda,,"5' 3""",115 lbs.,"64.0""",Orthodox,7
Daijiro,Matsui,,"5' 9""",200 lbs.,--,Orthodox,13
Toki,Matsui,,"5' 6""",125 lbs.,"65.0""",Orthodox,6
Koichiro,Matsumoto,,"5' 7""",145 lbs.,--,,15
Jean,Matsumoto,,"5' 6""",135 lbs.,"68.0""",Orthodox,16
Koyomi,Matsushima,,"5' 7""",145 lbs.,"66.0""",Orthodox,13
Naoki,Matsushita,,"5' 6""",155 lbs.,--,Orthodox,12
AJ,Matthews,,"5' 11""",185 lbs.,--,,8
Jake,Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,22
Connor,Matthews,The Controller,"5' 8""",145 lbs.,"71.0""",Switch,7
Claudio,Mattos,Popeye,--,185 lbs.,--,Orthodox,5
John,Matua,,"6' 2""",400 lbs.,--,Orthodox,1
Francesco,Maturi,,--,--,--,,0
Vladimir,Matyushenko,The Janitor,"6' 0""",205 lbs.,"74.0""",Orthodox,27
Miranda,Maverick,Fear The,"5' 3""",125 lbs.,"65.0""",Southpaw,17
Nick,Maximov,,"6' 0""",185 lbs.,"76.0""",Southpaw,8
Elaina,Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,7
Jeremy,May,,"6' 1""",185 lbs.,--,,13
Jack,May,The Outlaw,"6' 8""",255 lbs.,--,Switch,9
Don'Tale,Mayes,Lord Kong,"6' 6""",260 lbs.,"81.0""",Orthodox,11
Gray,Maynard,,"5' 9""",155 lbs.,"70.0""",Orthodox,13
Brooke,Mayo,The Bully,"5' 7""",125 lbs.,--,,0
Gina,Mazany,Danger,"5' 6""",125 lbs.,"68.0""",Southpaw,7
Sabina,Mazo,Colombian Queen,"5' 7""",125 lbs.,"70.0""",Orthodox,9
Francesco,Mazzeo,,"6' 3""",205 lbs.,"75.0""",Orthodox,4
Scott,McAfee,,"5' 8""",155 lbs.,--,Orthodox,14
Bobby,McAndrews,,--,--,--,Orthodox,1
Michael,McBride,,"6' 1""",155 lbs.,--,Orthodox,8
Ian,McCall,Uncle Creepy,"5' 5""",125 lbs.,"64.0""",Orthodox,13
Molly,McCann,Meatball,"5' 4""",115 lbs.,"62.0""",Orthodox,14
Charles,McCarthy,Chainsaw,"5' 10""",185 lbs.,"71.0""",Orthodox,10
Eric,McConico,,"6' 0""",185 lbs.,"77.0""",Southpaw,9
Sean,McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17
Danni,McCormack,Mac,"5' 4""",125 lbs.,"62.0""",Southpaw,9
Paddy,McCorry,,--,185 lbs.,--,,6
Kris,McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8
Tamdan,McCrory,The Barncat,"6' 4""",185 lbs.,"76.0""",Switch,14
Rob,McCullough,Razor,"5' 9""",155 lbs.,"69.0""",Orthodox,19
Justin,McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,11
Robert,McDaniel,Bubba,"6' 3""",185 lbs.,"75.0""",Southpaw,28
Michael,McDonald,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,1
Scott,McDonald,,--,--,--,,1
Michael,McDonald,Mayday,"5' 9""",135 lbs.,"70.0""",Orthodox,17
Josh,McDonald,,--,185 lbs.,--,,9
Miles,McDonald,,"5' 7""",115 lbs.,--,,2
Justin,McElfresh,,"6' 6""",205 lbs.,--,Orthodox,6
Drew,McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,12
Liam,McGeary,,"6' 6""",205 lbs.,--,,12
Gan,McGee,The Giant,"6' 10""",265 lbs.,--,Orthodox,13
Court,McGee,The Crusher,"5' 11""",170 lbs.,"75.0""",Orthodox,23
Marcus,McGhee,The Maniac,"5' 8""",135 lbs.,"69.0""",Orthodox,10
Ryan,McGillivray,The Kid,"5' 11""",170 lbs.,--,,12
Ryan,McGivern,,"6' 0""",185 lbs.,--,Orthodox,13
Jack,McGlaughlin,,--,--,--,Orthodox,1
Conor,McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22
Greg,McIntyre,,"5' 10""",155 lbs.,--,Orthodox,6
Antonio,McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,29
AJ,McKee,Mercenary,"5' 10""",145 lbs.,--,,8
Rhys,McKee,Skeletor,"6' 2""",170 lbs.,"78.0""",Orthodox,14
Cory,McKenna,Poppins,"5' 3""",115 lbs.,"58.0""",Orthodox,8
Tim,McKenzie,,"6' 0""",185 lbs.,"74.0""",Orthodox,14
Cody,McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,16
Terrance,McKinney,T. Wrecks,"5' 10""",155 lbs.,"73.0""",Switch,17
Brian,McLaughlin,,"5' 9""",155 lbs.,--,,6
Jason,McLean,,"5' 5""",145 lbs.,--,,6
Garreth,McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13
Sara,McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,13
Tommy,McMillen,Gun,--,145 lbs.,--,,6
James,McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15
Charles,McTorry,,--,--,--,,3
Jackson,McVey,The Moose,"6' 4""",185 lbs.,"77.0""",Southpaw,6
Daniel,McWilliams,The Animal,"6' 1""",185 lbs.,--,,15
Tim,Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,33
Yancy,Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15
Anistavio,Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19
Kaline,Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8
MarQuel,Mederos,,"5' 10""",155 lbs.,"69.0""",Orthodox,11
Uros,Medic,The Doctor,"6' 1""",170 lbs.,"71.0""",Southpaw,10
Todd,Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11
Jason,Medina,,"5' 9""",180 lbs.,--,,21
Jose Daniel,Medina,Chicho,"6' 0""",185 lbs.,"74.0""",Orthodox,11
Emil,Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9
Sanford Alton,Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1
Gerald,Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,37
Frank,Megallon,,"5' 10""",185 lbs.,--,Southpaw,2
Derrick,Mehmen,Caveman,"6' 4""",205 lbs.,--,,19
Miika,Mehmet,,--,205 lbs.,--,Orthodox,3
Jordan,Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31
Bryce,Mejia,,"6' 1""",170 lbs.,--,,3
Brian,Melancon,,"5' 8""",170 lbs.,--,Orthodox,7
Brandon,Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25
Gilbert,Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22
Nair,Melikyan,Ahalkalakski,"5' 6""",155 lbs.,--,,11
Marcelo,Mello,,"5' 7""",170 lbs.,--,Southpaw,1
Fabio,Mello,,"5' 5""",155 lbs.,--,Southpaw,11
Vanessa,Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11
Antonio,Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18
Chad,Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18
Augusto,Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6
Eddie,Mendez,,"5' 10""",185 lbs.,--,,8
Mateus,Mendonca,Bocao,"5' 6""",125 lbs.,"71.0""",Orthodox,10
Luis,Mendoza,,--,155 lbs.,--,,0
Pietro,Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13
Alonzo,Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,17
Ivan,Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25
Dave,Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45
Steve,Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9
Buck,Meredith,,"6' 2""",185 lbs.,--,,3
Adam,Meredith,,"6' 2""",170 lbs.,--,,5
Nick,Meregali,,--,--,--,,0
Joe,Merritt,,"6' 0""",170 lbs.,--,Orthodox,7
Bia,Mesquita,,--,135 lbs.,--,,5
Jeremiah,Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13
Jonathan,Meunier,District,"6' 3""",170 lbs.,--,Switch,8
Yaotzin,Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21
Guy,Mezger,,"6' 1""",200 lbs.,--,Orthodox,30
David,Mgoyan,,--,145 lbs.,--,,7
Jonathan,Micallef,The Captain,"6' 0""",170 lbs.,"77.0""",Southpaw,8
Brandon,Michaels,,"5' 9""",185 lbs.,--,,4
Andreas,Michailidis,The Spartan,"6' 0""",170 lbs.,"76.0""",Orthodox,13
David,Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11
Chris,Mickle,,"5' 9""",145 lbs.,--,Orthodox,30
Zachary,Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15
Kristof,Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6
Keith,Mielke,,"5' 8""",185 lbs.,--,,0
Chris,Mierzwiak,,"6' 1""",185 lbs.,--,,5
Gabriel,Miglioli,Biel,"5' 8""",170 lbs.,--,,9
Bojan,Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10
Billy,Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2
Pat,Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29
Curtis,Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17
Phillip,Miller,,"5' 11""",185 lbs.,--,Orthodox,16
Jason,Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23
Dan,Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14
Jim,Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,38
Cole,Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21
Henry,Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6
Micah,Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20
Aaron,Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14
Mo,Miller,Moshow,"5' 8""",135 lbs.,"72.0""",Orthodox,6
Juliana,Miller,Killer,"5' 7""",125 lbs.,"66.0""",Orthodox,5
Ty,Miller,,--,170 lbs.,--,,5
Eddy,Millis,,"6' 1""",185 lbs.,--,,0
Che,Mills,Beautiful,"6' 1""",170 lbs.,"76.0""",Orthodox,16
Adam,Milstead,The Prototype,"6' 3""",205 lbs.,"76.0""",Orthodox,8
Alberto,Mina,Soldier of God,"6' 0""",170 lbs.,"77.0""",Orthodox,13
Vitaly,Minakov,,"6' 2""",249 lbs.,--,,20
Mario,Mingaj,,--,265 lbs.,--,,7
Darrick,Minner,,"5' 7""",145 lbs.,"69.0""",Orthodox,26
Mike,Minniger,,--,--,--,,0
Ikuhisa,Minowa,Minowaman,"5' 9""",181 lbs.,--,Orthodox,60
Carlton,Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10
Stipe,Miocic,,"6' 4""",240 lbs.,"80.0""",Orthodox,20
Frank,Mir,,"6' 3""",264 lbs.,"79.0""",Southpaw,18
Juan,Miranda,,--,155 lbs.,--,,7
Mario,Miranda,,"6' 3""",185 lbs.,"74.0""",Orthodox,14
Vitor,Miranda,Lex Luthor,"6' 1""",185 lbs.,"77.0""",Orthodox,12
Gabriel,Miranda,Fly,"5' 11""",145 lbs.,"71.0""",Orthodox,17
Damir,Mirenic,Wolf,"6' 0""",185 lbs.,--,Orthodox,9
Kazuo,Misaki,Hitman,"5' 8""",183 lbs.,--,Orthodox,25
Toby,Misech,2 Quick,"5' 8""",145 lbs.,--,Southpaw,9
Dokonjonosuke,Mishima,,"5' 7""",155 lbs.,--,Southpaw,21
Felix Lee,Mitchell,,--,--,--,Orthodox,2
David,Mitchell,Daudi,"6' 0""",170 lbs.,"75.0""",Orthodox,22
Danny,Mitchell,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,19
Brad,Mitchell,,"5' 11""",145 lbs.,--,,4
Clay,Mitchell,,"6' 2""",185 lbs.,--,,1
Bryce,Mitchell,Thug Nasty,"5' 10""",135 lbs.,"70.0""",Southpaw,18
Maurice,Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11
Terrence,Mitchell,,"5' 10""",135 lbs.,"74.0""",Orthodox,14
Roman,Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8
Matt,Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12
Eiji,Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18
Hiromitsu,Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12
Jonathan,Mix,,"6' 0""",168 lbs.,--,,7
Patchy,Mix,No Love,"5' 11""",135 lbs.,"70.0""",Southpaw,20
Tomoya,Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17
Kazuyuki,Miyata,,"5' 8""",139 lbs.,--,Orthodox,15
Motoki,Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7
Takeya,Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21
,Mizuki,,"5' 3""",115 lbs.,"65.0""",Orthodox,15
Tatsuya,Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16
Roxanne,Modafferi,The Happy Warrior,"5' 7""",125 lbs.,"69.0""",Orthodox,25
Bobby,Moffett,The Wolfman,"5' 10""",145 lbs.,"73.0""",Orthodox,13
Bronson,Mohika,,--,135 lbs.,--,,1
Nate,Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9
Renato,Moicano,,"5' 11""",155 lbs.,"72.0""",Orthodox,20
Thiago,Moises,,"5' 9""",155 lbs.,"70.0""",Orthodox,19
Muhammad,Mokaev,The Punisher,"5' 7""",125 lbs.,"70.0""",Orthodox,13
Ashkan,Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13
Suman,Mokhtarian,,"5' 8""",145 lbs.,"72.0""",Orthodox,8
Dan,Molina,,"5' 10""",216 lbs.,--,,13
Jeff,Molina,El Jefe,"5' 6""",125 lbs.,"69.0""",Orthodox,11
Rudyard,Moncayo,,"5' 10""",195 lbs.,--,Orthodox,0
Hidetaka,Monma,,"6' 0""",168 lbs.,--,Orthodox,18
Jeff,Monson,The Snowman,"5' 9""",247 lbs.,"74.0""",Orthodox,60
Darrell,Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13
Michelle,Montague,The Wild One,--,135 lbs.,--,,6
Andrew,Montanez,,--,185 lbs.,--,,9
Augusto,Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15
Erick,Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,7
Nicco,Montano,,"5' 5""",135 lbs.,"65.0""",Southpaw,5
Antonio,Monteiro,Junior Negao,"5' 7""",145 lbs.,"70.0""",Orthodox,17
Sofia,Montenegro,La Bruja,--,--,--,,6
Alberto,Montes,The Promise,"5' 7""",145 lbs.,"69.0""",Orthodox,11
Steve,Montgomery,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,9
James,Moontasri,Moon Walker,"5' 10""",170 lbs.,"71.0""",Switch,9
Homer,Moore,The Rock,"5' 10""",205 lbs.,--,Orthodox,26
Todd,Moore,,"5' 9""",170 lbs.,"71.0""",Southpaw,16
Nate,Moore,,"6' 0""",170 lbs.,--,,8
Dustin,Moore,,"5' 4""",125 lbs.,--,,0
Taylor,Moore,,"5' 10""",135 lbs.,"70.0""",Southpaw,10
Sergio,Moraes,The Panther,"6' 0""",170 lbs.,"72.0""",Orthodox,14
Marlon,Moraes,Magic,"5' 6""",135 lbs.,"67.0""",Orthodox,23
Sheymon,Moraes,,"5' 8""",145 lbs.,"72.0""",Orthodox,11
John,Moraga,,"5' 6""",125 lbs.,"66.0""",Orthodox,19
Ricardo,Morais,The Mutant,"6' 8""",270 lbs.,--,Orthodox,10
Leonardo,Morales,Chimy,"5' 8""",135 lbs.,--,Southpaw,6
Albert,Morales,The Warrior,"5' 9""",135 lbs.,"72.0""",Orthodox,7
Joseph,Morales,,"5' 6""",125 lbs.,"69.0""",Switch,9
Vince,Morales,Vandetta,"5' 7""",135 lbs.,"70.0""",Orthodox,16
Omar,Morales,Venezuelan Fighter,"5' 11""",155 lbs.,"73.0""",Orthodox,11
Michael,Morales,,"6' 0""",170 lbs.,"79.0""",Orthodox,18
Sarah,Moras,Cheesecake,"5' 7""",135 lbs.,"67.0""",Orthodox,6
